titles,category
 자막  데스노트 리마스터,추리
문호 스트레이 독스  기,추리
 더빙  데스노트 리마스터,추리
문호 스트레이 독스  기,추리
문호 스트레이 독스  기,추리
 더빙  명탐정 코난  기,추리
 자막  명탐정 코난   기,추리
나만이 없는 거리,추리
 더빙  명탐정 코난  기,추리
 자막  명탐정 코난     ,추리
 더빙  명탐정 코난  기,추리
 더빙  명탐정 코난  기,추리
 더빙  명탐정 코난   기,추리
 더빙  명탐정 코난   기,추리
 더빙  명탐정 코난   기,추리
 자막  명탐정 코난     ,추리
 더빙  탐정학원  ,추리
 더빙  소년탐정 김전일           기,추리
 더빙  명탐정 코난   기,추리
 더빙  소년탐정 김전일           기,추리
문호 스트레이독스 멍 ,추리
무능한 나나,추리
 자막  명탐정 코난   기,추리
             기,추리
 더빙  명탐정 코난   기,추리
단간론파   희망의 학교와 절망의 고교생,추리
 더빙  명탐정 코난   기,추리
 자막  명탐정 코난   기,추리
 더빙  소년탐정 김전일           기,추리
허구추리,추리
