,titles,category,multi_category
0, 자막  스파이 패밀리 part  ,로맨스,액션 개그
1, 더빙  꿈빛 파티시엘 리마스터,로맨스,로맨스 음식
2,지박소년 하나코 군,로맨스,판타지 액션
3,그 비스크 돌은 사랑을 한다,로맨스,로맨스
4,호리미야,로맨스,로맨스 드라마
5, 더빙  너에게 닿기를  기 리마스터,로맨스,로맨스
6, 자막  오란고교 사교클럽,로맨스,개그 로맨스
7,카구야 님은 고백받고 싶어  천재들의 연애 두뇌전   기,로맨스,일상 개그
8,카구야 님은 고백받고 싶어  천재들의 연애 두뇌전   기,로맨스,일상 개그
9, 더빙  오란고교 사교클럽,로맨스,개그 로맨스
10,슈퍼 시크릿,로맨스,판타지 로맨스
11,새벽의 연화,로맨스,판타지 액션
12,마법사의 신부,로맨스,판타지 로맨스
13,다 다 다 ,로맨스,일상 개그
14,오늘부터 신령님  기,로맨스,판타지 로맨스
15, 월은 너의 거짓말,로맨스,로맨스 음악
16,월간순정 노자키 군,로맨스,일상 개그
17,카구야 님은 고백받고 싶어  울트라 로맨틱 ,로맨스,일상 개그
18, 자막  스파이 패밀리 part  ,로맨스,액션 개그
19,청춘 돼지는 바니걸 선배의 꿈을 꾸지 않는다,로맨스,판타지 로맨스
20,후르츠 바스켓  기,로맨스,판타지 로맨스
21,진정한 동료가 아니라고 용사 파티에서 쫓겨났기 때문에  변경에서 슬로우 라이프 하기로 했습니다,로맨스,판타지 일상
22,오늘부터 신령님  기,로맨스,판타지 로맨스
23,어쨌든 귀여워,로맨스,개그 로맨스
24,귀엽기만 한 게 아닌 시키모리 양,로맨스,로맨스 일상
25,알바 뛰는 마왕님 ,로맨스,판타지 액션
26,선배가 짜증나는 후배이야기,로맨스,로맨스 개그
27, 더빙  너에게 닿기를  기 리마스터,로맨스,로맨스
28,여친  빌리겠습니다  기,로맨스,로맨스 하렘
29,빨강머리 백설공주,로맨스,로맨스 시대물
30,성녀의 마력은 만능입니다,로맨스,이세계 판타지
31,아오하라이드,로맨스,로맨스
32,사사키와 미야노,로맨스,로맨스 BL
33,니세코이,로맨스,개그 로맨스
34,심심한 칠드런,로맨스,로맨스
35, 등분의 신부  ,로맨스,일상 개그
36,후르츠 바스켓  기,로맨스,판타지 로맨스
37, 더빙  이누야샤  기,로맨스,판타지 액션
38,역시 내 청춘 러브코메디는 잘못됐다 ,로맨스,로맨스 드라마
39,에로망가 선생,로맨스,개그 하렘
40,옆자리 괴물군,로맨스,개그 로맨스
41,캐릭캐릭 체인지 part  ,로맨스,판타지 액션
42,역시 내 청춘 러브코메디는 잘못됐다  완,로맨스,로맨스 드라마
43, 등분의 신부,로맨스,일상 개그
44,역시 내 청춘 러브코메디는 잘못됐다  속   판권 부활,로맨스,로맨스 드라마
45,아하렌 양은 알 수가 없어,로맨스,로맨스 개그
46,장난을 잘 치는 타카기 양  기,로맨스,일상 개그
47, 자막  내 이야기  ,로맨스,개그 로맨스
48, 자막  중 병이라도 사랑이 하고싶어 ,로맨스,로맨스
49,사랑은 세계정복 후에,로맨스,개그 로맨스
50,괴롭히지 말아요  나가토로 양,로맨스,일상 개그
51,너와 나의 눈높이,로맨스,일상 개그
52,XXX HOLiC  기,로맨스,판타지 로맨스
53,사신 도련님과 검은 메이드,로맨스,로맨스 개그
54,샤를로트,로맨스,판타지 로맨스
55,우자키 양은 놀고 싶어 ,로맨스,개그 로맨스
56,뻐꾸기 커플,로맨스,개그 로맨스
57,학전도시 애스터리스크,로맨스,판타지 액션
58,진화의 열매  모르는 사이 성공한 인생 ,로맨스,로맨스 하렘
59, 더빙  꿈빛 파티시엘 SP 프로페셔널 리마스터,로맨스,로맨스 음식
60,그 남자  그 여자의 사정,로맨스,개그 로맨스
61, 더빙  이누야샤  기,로맨스,이세계 판타지
62, 더빙  이누야샤 완결편,로맨스,이세계 판타지
63,새 엄마가 데려온 딸이 전 여친이었다,로맨스,개그 로맨스
64, 더빙  반요 야샤히메  기,로맨스,판타지 액션
65,이 게임 폐인이 사는 법,로맨스,로맨스 드라마
66,나만 들어가는 숨겨진 던전,로맨스,판타지 액션
67,경계의 저편,로맨스,판타지 액션
68,장난을 잘 치는 타카기 양  기,로맨스,일상 개그
69,종말에 뭐하세요  바쁘세요  구해주실 수 있나요 ,로맨스,판타지 로맨스
70, 더빙  이누야샤  기,로맨스,이세계 판타지
71,음란한 아오는 공부를 할 수 없어,로맨스,개그 로맨스
72,새여동생 마왕의 계약자,로맨스,판타지 액션
73, 더빙  반요 야샤히메  기,로맨스,판타지 액션
74,우리는 공부를 못해,로맨스,개그 로맨스
75,알바 뛰는 마왕님  ,로맨스,판타지 액션
76,달의 요정 세일러 문,로맨스,판타지 액션
77, 더빙  이누야샤  기,로맨스,이세계 판타지
78,쌍성의 음양사,로맨스,판타지 액션
79,도메스틱한 그녀,로맨스,로맨스 성인
80,무장소녀 마키아벨리즘,로맨스,판타지 액션
81,너와 나의 최후의 전장  혹은 세계가 시작하는 성전,로맨스,판타지 액션
82,수염을 깎다  그리고 여고생을 줍다 ,로맨스,로맨스 성인
83,캐릭캐릭 체인지 part  ,로맨스,판타지 개그
84,슈가슈가룬 part  ,로맨스,판타지 액션
85, 더빙  이누야샤  기,로맨스,이세계 판타지
86,마요치키,로맨스,로맨스 성인
87,리라이프   판권 부활,로맨스,로맨스 드라마
88,중 병이라도 사랑이 하고싶어  연,로맨스,로맨스
89,니세코이    기 ,로맨스,개그 로맨스
90, 더빙  이누야샤  기,로맨스,이세계 판타지
91,인게이지 키스,로맨스,판타지 액션
92, 자막  반요 야샤히메  기,로맨스,판타지 액션
93, 더빙  스파이 패밀리,로맨스,액션 개그
94,후르츠 바스켓 더 파이널,로맨스,판타지 로맨스
95,악역 영애이기 때문에 최종 보스를 길러보았습니다,로맨스,로맨스 판타지
96,학전도시 애스터리스크  기,로맨스,판타지 액션
97,달달한 그녀,로맨스,판타지 로맨스
98, 자막  반요 야샤히메  기,로맨스,판타지 액션
99,몬스터 아가씨의 의사 선생님,로맨스,판타지 성인
