,titles,category,multi_category
0,은혼  기,성인,판타지 액션
1,진격의 거인  기,성인,판타지 액션
2,도쿄 리벤저스 part  ,성인,액션 드라마
3,도쿄 리벤저스 part  ,성인,액션 드라마
4,오버로드  기,성인,이세계 판타지
5,약속의 네버랜드  기,성인,판타지 모험
6,오버로드  기,성인,이세계 판타지
7,오버로드  기,성인,이세계 판타지
8,흔해빠진 직업으로 세계최강  기,성인,이세계 판타지
9,과호흡  리마스터링 ,성인,성인 BL
10,오버로드  기,성인,이세계 판타지
11,진격의 거인  기 part  ,성인,판타지 액션
12,진격의 거인 The FINAL part  ,성인,판타지 액션
13,진격의 거인  기,성인,판타지 액션
14,진격의 거인 The FINAL part  ,성인,판타지 액션
15,진격의 거인  기 part  ,성인,판타지 액션
16,은혼  기,성인,판타지 액션
17,체인소 맨,성인,액션 성인
18,노 게임 노 라이프   판권 부활,성인,이세계 판타지
19,안기고 싶은 남자  위에게 협박당하고 있습니다,성인,성인 BL
20,약속의 네버랜드  기,성인,판타지 모험
21,흔해빠진 직업으로 세계최강  기,성인,이세계 판타지
22,도쿄 구울,성인,판타지 액션
23,회복술사의 재시작,성인,판타지 액션
24,이세계 미궁에서 하렘을,성인,이세계 액션
25,고블린 슬레이어,성인,판타지 액션
26,은혼  기 DASH편,성인,판타지 액션
27,낙제기사의 영웅담,성인,판타지 액션
28,아카메가 벤다 ,성인,판타지 액션
29,이세계 마왕과 소환 소녀의 노예 마술,성인,판타지 이세계
30,진격  거인중학교,성인,판타지 액션
31,도쿄 구울  A,성인,판타지 액션
32,스트라이크 더 블러드,성인,판타지 액션
33,기생수 세이의 격률,성인,액션 SF
34,독점 마이 히어로,성인,개그 성인
35,시맨틱 에러 스페셜,성인,BL 성인
36, 무삭제  이종족 리뷰어스,성인,판타지 성인
37,기븐,성인,성인 음악
38,PSYCHO PASS  기,성인,액션 SF
39,금장의 벨메이유  벼랑 끝 마술사는 최강의 재액과 마법세계를 헤쳐나간다 ,성인,판타지 일상
