,titles,category,summary
0,명일방주  여명의 전주곡 ,sf,줄거리  원작                                테라의 대지에서는 원인불명의 재해가 각지에서 불규칙하게 발생하고 있다 그곳의 대다수의 사람들은 재해로부터 도망치기 위해  긴 세월을 거쳐 개발된 이동 도시에서 살게 되었다   재해가 지나간 땅에 남겨진 막대한 에너지를 가진 원석은 문명의 비약적인 진보를 가져다준 한편  치료가 불가능한 병  광석병을 가져 왔다   광석병 감염자는 서서히 몸이 결정화되어 사망 시에 새로운 감염원이 되었기 때문에  각국에서 격리와 강제 노동의 체제가 전개되고 박해의 대상이 되었다    억압을 받은 감염자는 반기를 들었고  광석병 치료법을 연구하는 제약회사  로도스 아일랜드 는 병으로부터 모든 사람들을 구하기 위해서 무기를 들고 자신들이 가야 할 길로 나아간다                                      접기
1,닌자 잇토키,sf,줄거리 닌자는 존재하지 않는다고  우리들은 생각하고 있다   가령 닌자가 존재한다고 해도  닌자는 그 모습을 우리 앞에서 드러내는 일은 없다   그렇기에 닌자는  표면적으로는  존재하지 않는 것이다   주인공인 사쿠라바 잇토키는 우리들처럼 닌자가 존재하지 않는다고 생각하는 평범한 남자아이였다   그에게는 평소와 같은 행복하고 반짝거리는 나날이 약속되어있을   터였다   어느 날  잇토키는 목숨을 위협받았고 그것이 코가 닌자들의 소행이라는 사실을 듣게 되었다   잇토키가 목숨을 위협받게 된 이유는    그가 유서 깊은 이가 닌자 제  대 정통 후계자였기 때문이었다   이가와 코가가 오랜 세월 대립해 온 가운데 코가가 이가를 침략하려고 하는 상황   그런 상황 속에서 잇토키가 살기 위해선 스스로 닌자가 되는 수밖에 없었다  그렇게 아무것도 모르는 닌자의 세계에 몸을 던지게 된 잇토키   어엿한 닌자가 되기 위해 배우고  싸우고  고난과 맞선다  하지만 그것은 잇토키가 겪게 될 가혹한 운명의 예고에 불과했는데       접기
2,어떤 과학의 일방통행,sf,줄거리 도쿄 서부에 위치한 거대한  학원도시   총인구가    만 명이 넘고 그중 약  할을 학생이 차지하는 이 도시에서는 초능력 개발을 위한 특수한 커리큘럼이 시행되어 학생들의 능력은 레벨  에서 레벨  까지의  단계로 평가되고 있었다   그런 학원도시에서 능력자들의 정점에 군림하는 최강의 능력자 액셀러레이터   명밖에 없는 레벨   중에서도 특별히 뛰어난 능력을 자랑하는 제 위는 그 힘 때문에 살벌한 일상을 보내고 있었다   반복되는 상식을 벗어난  실험 과 절대적인 힘을 원했던 끝에 경험한 패배  그 너머에서 그를 기다리고 있던 것은 어떤 소녀 라스트 오더와의 만남에 의해 운명이 크게 바뀌게 된다   최강이자 최흉인  악  액셀러레이터가 학원도시의  어둠 을 쓸어버린다        접기
3,에스타브 라이프 그레이트 이스케이프,sf,줄거리  사는 것이 괴로우신가요  그렇다면 도망치면 돼요    한참 뒤의 미래  인간은 지금까지의 모습뿐만이 아니라 수인  사이보그  마족 등 다양한 모습을 가지게 되었다  도쿄의 거리는   가 관리하는 높다란 벽에 둘러싸여 클러스터라는 수많은 지역들로 나누어졌고  자유로운 왕래가 금지되어 각자 독자적인 문화와 상식을 키워나갔다  사람들은 자신들이 태어난 클러스터의 상식을 기준으로 삼아 행복한 일생을 보냈다   하지만  그중에는 자신들의 클러스터에 적응할 수 없는 사람들도 나타났다  그리고 그런 사람들을 다른 클러스터로 도망치게 하는 것을 생업으로 하는 사람들이 있었다  도망치고자 하는 자로부터 의뢰를 받아 갖가지 방법을 구사해   의 의표를 찔러  본래라면 불가능한 클러스터 간의 이동을 성사시키는 사람들  탈출업자   도망치고  도망치고  또 도망쳐라  도망치고자 하는 사람들을 돕는  명의 탈출업자의 이야기     접기
4,경계전기  기,sf,줄거리 고스트와 싸웠던 오키노시마 전투로부터  개월 후  일본을 무대로 한 전란은 아직 끝나지 않고 있었다   타른 세력에 앞서 군사용 자율 사고형   의 실용화에 성공한  북미 동맹은 다른  세력과의 경계선을 넘어 지배 영역을 확대하고 있었다   이 일본인의 존재를 무시한 파워 게임에 분노해 대항하는 자들이 있다  레지스탕스 조직  야타가라스 는 켄부를 잃어 괴로운 상황이었지만  지금도 일본을 되찾기 위해 싸움을 계속하고 있었다       접기
5,Vivy  Fluorite Eye s Song  Live Event  Sing for Your Smile ,sf,줄거리   와 인간의 전쟁을 막기 위해  백 년의 여행을 마친    비비와  그녀의 자매들이 모여 만드는 꿈의 무대  오늘 무대에 선 그녀들의 사명은   노래로 모두를 행복하게 해주는 것      접기
6,소녀전선,sf,줄거리 제 차 세계대전으로 인해 전투에 특화된 전술인형들이 보급된 미래   대형 군수 기업  철혈공조 의 전술인형이 돌연 인류에게 반기를 들었다   이에 안전계약사      통칭 그리폰   소속인 전술인형     을 비롯한   팀이 극비 임무를 받고 적지에 잠입했고 기술이 발전한 미래 세계를 무대로 전술인형들이 자아내는 장렬한 싸움이 개전했다   이곳은  초연과 감정이 소용돌이치는 소녀들의 전선     접기
7,도쿄   구,sf,줄거리 도쿄만에 떠 있는 인공섬  극동 법령 외 특별 지구  통칭    구    그곳에서 나고 자란 슈우타  란  코우키는 가정환경도 취미도 성격도 달랐지만 언제나 어울려 다니는 소꿉친구였다   하지만 그들의 관계는 어떤 사건을 계기로 크게 바뀌어 버렸다  그 사건의  주년 추도 미사에서 우연히 재회한 세 사람의 전화가 갑자기 동시에 울린다  그것은 죽은 동료의 전화였고  그들에게  미래의 선택 을 재촉하는 것이었다   세 사람은 자신의 믿는 방법으로  사랑하는   구의 사람들의 미래를 지키려고 하는데       접기
8,TRIBE NINE,sf,줄거리 심약하고 항상 괴롭힘당하기 일쑤였던 시로카네 하루  최강의 남자를 꿈꾸며 바다를 건너 찾아온 타이가   두 소년은 어느 날 해 질 무렵에 최강의    플레이어이자 미나토 트라이브의 리더인 카미야 슌과 만났다   그와 같은 시기 네오 도쿄에 퍼져있는 수많은 트라이브들은 커다란 위협에 직면하고 있었다   네오 도쿄 국왕인 오토리 텐신의 명령으로 수수께끼의 남자 오토리 오지로가 이끄는 치요다 트라이브가 나라 곳곳에 있는 트라이브들을 제압하기 시작한 것이다   그 마수는 미나토 트라이브에까지 닿으려 하고 있었는데      자신을 바꾸고 싶다   어찌 됐든 최강의 남자를 목표로 한다   그저   를 즐기고 싶다   스스로의 양보할 수 없는 신념을 관철하기 위해 하루  타이가  카미야는    타석에 우뚝 섰다     접기
9, 극장판  소드 아트 온라인  프로그레시브  별 없는 밤의 아리아,sf,줄거리 그날   너브기어  를 우연히 머리에 쓴  유우키 아스나  는 원래 인터넷 게임과는 무관하게 살고 있는 중학교  학년 소녀였다   게임 마스터는 통보했다   이건 게임이지만 놀이가 아니다   게임 속에서의 죽음은  그대로 현실에서의 죽음으로 이어진다  그 말을 듣게 된 모든 플레이어들이 혼란에 빠지고  게임 속은 아비규환의 도가니가 되었다   그중 한 사람이었던 아스나였지만  그녀는 세계의 룰조차 모른 채 정상이 보이지 않는 강철의 부유성  아인그라드  공략에 나선다   죽음과 맞닿아 있는 세계에서 살아나가던 와중에 아스나에게 찾아온  만남   그리고  이별     눈앞의 현실 에 휘둘리면서도 꿋꿋이 싸우는 그녀 앞에 나타난 건  고독한 검사 키리토였다     접기
