,titles,category,summary
0, 극장판  유루캠 ,로맨스,줄거리 이것은 조금 먼 미래의 겨울부터 시작되는 이야기   시마 린은 고향인 야마나시를 떠나   나고야의 작은 출판사에 취직해 혼자서 생활하고 있었다    어느 주말 투어링 계획을 세우고 있던 린에게  고등학교 친구인 오가키 치아키가 갑작스럽게 보낸 문자가 왔다     나 지금 나고야에 있는데    야마나시 관광 추진 기구에서 일하는 치아키는 몇 년 전에 폐쇄된 모 시설의 재개발 계획을 맡고 있었다     그렇게 넓은 부지면 캠핑장이라도 만들든가    린이 무심코 내뱉은 말 한마디에 움직이기 시작한 치아키  도쿄의 아웃도어 매장에서 일하는 카가미하라 나데시코   고향인 야마나시에서 초등학교 교사가 된 이누야마 아오이   요코하마의 애견 미용실에서 근무하는 사이토 에나   예전의 캠핑 동료들이 모이면서  캠핑장 개발 계획이 시작된다    캠핑으로 이어진  명이  지금이기에 할 수 있는 일에 도전   아웃도어 계열  걸즈 스토리 개막       접기
1,연애 플롭스,로맨스,줄거리 거리로 나서서 주위를 바라보면 한 명 정도는 눈에 들어올 듯한 평범한 남고생 카시와기 아사히   변함없는 일상에 아무런 의문도 품지 않은 채 집을 나서 학교로 가던 도중  아사히에게 갖가지 재난이 닥쳐왔다   그리고 이는 집을 나서기 전 전혀 신경 안 쓰고 있던     운세 코너의 기묘한 점괘대로였는데   차례로 벌어지는 트러블 속에서  명의 소녀들과 최악이라고 할 수 있는 만남을 이룬 아사히  몸도 마음도 너덜너덜해진 채 드디어 도착한 학교에서 그의 눈에 들어온 것은  전학생 및 신임 교사로 온  명의 소녀들이었다    아사히는 필사적으로 얼굴을 가렸으나 당연히 먹힐 리가 없었고  자칭 아사히의 절친인 이쥬인 요시오가 그들과 어떤 관계냐고 물었다   그래도  명의 소녀들과 함께 지내는 가운데 모든 것이 오해였다는 것이 밝혀지고  약간이나마 서로 마음을 트게 되었다   그리고 방과 후  집으로 가기 위해 신발장을 열어보니 거기에는 한 통의 러브레터가 있었다   발신인 불명인 러브레터에는 교사 뒤편 벚꽃 나무 밑에서 기다리고 있겠다고 적혀 있었고  이 또한 점괘대로였다  이렇게 된 이상 다 확인해봐야겠다고 다짐한 아사히는 벚꽃 나무 밑을 향했는데   벚꽃이 피는 계절에  명의 사랑을 실은 바람이 스쳐 지나가는  아련하고 애달픈 청춘 러브 스토리가 지금 막을 열었다       접기
2,부부 이상  연인 미만 ,로맨스,줄거리 시원찮은 남자 고등학생 야쿠인 지로는  부부 실습 이라는 수업에서 절대로 엮일 일 없었던 반의 갸루 미소녀 와타나베 아카리와 같이 살게 되었다   서로에 대한 인상은 최악인 가운데   아싸 와  인싸 가 어울릴 리가 없었으며 무엇보다도 자극이 너무 강했다   목욕탕 이벤트도 생기면서 갑자기 몸이 밀착하는 트러블까지  지로는 괴로워하면서도 이를 의식하지 않으려 했으나      저기  제대로 부부 놀이 해보지 않을래    서로 좋아하는 사람이 있는 지로와 아카리는 짝을 교환할 권리를 얻기 위해  진심으로 사이좋은 부부를 연기하게 되었다   하지만 달콤 쌉싸름한 부부 생활은 점차 서로를 의식하게 만들었고  둘은 상대의 매력을 점점 알아가게 되었는데    연인 보다도 자극적인  갸루와 아싸의  부부 놀이 가 시작된다       접기
3,책벌레 공주,로맨스,줄거리 후작 영애인 엘리아나는 어릴 적부터 책을 좋아해  독서광도 아닌  책벌레 공주 라는 별명이 붙었다   그런 괴짜 아가씨에게 왕태자인 크리스토퍼는 말했다    나와 약혼해 줬으면 해 라고   약혼함으로써 크리스토퍼는 궁전 내부의 파벌 싸움에서 해방되고  엘리아나는 왕태자의 약혼자로서 왕궁 서고실에 출입할 수 있게 되었다   이것은 어디까지나 서로의 이익을 위한  계약  약혼일    터였다    년의 세월이 지난 어느 날  엘리아나는 크리스토퍼가 자작 영애인 아이린과 사이좋게 얘기하는 모습을 목격하고 말았다   이에 엘리아나는 마침내 약혼이 파기되는 순간이 온 건가 하고 각오했지만  가슴속에서는 복잡한 마음이 소용돌이치고 있었다   책을 좋아하는 영애의 착각 러브 판타지   엘리아나와 크리스토퍼의  진정한 사랑 의 행방은 과연       접기
4,아이돌리쉬 세븐 Third BEAT  Part  ,로맨스,줄거리 데뷔  주년을 맞이해 기념 라이브 투어 개최를 결정한           선배이자 좋은 라이벌인                 도 멋지게 활약하며 주목을 모으고 있었다   그런 세 그룹의 인기가 높아지는 한편  연예계의  노이즈 가 그들에게 다가온다   소문  적의  억측  속임수  꿈과 동경만으로는 살아남을 수 없는 화려한 세계의 뒷면   많은 사람의 의도가 얽혀드는 와중에  아이돌 업계를 뒤흔드는  새로운 세력 도 조용히 움직이기 시작했는데       접기
5,불멸의 그대에게 Season  ,로맨스,줄거리 불사는 최초에 지상에 던져진  구체 였다   아기나 다름없던 불사는 어머니 같은 소녀  비범한 형  전장의 친구들  마지막으로 한 명의 노파를 떠나보내며 인간에 가까운 성장을 이루었다    그로부터 수십 년   숙적 노커의 공격으로 세계는 다시 혼란에 빠져 있었다   불사는 긴 침묵을 깨고 일어선다  하지만 깨달았다  혼자서 싸울 수는 있지만  혼자서 지키는 것은 불가능하다는 것을   새로운 희생을 치러서라도 싸움에 임할 것인가  아니면 미래를 지키는 불사 일행의 싸움이 시작된다       접기
6,악역 영애이기 때문에 최종 보스를 길러보았습니다,로맨스,줄거리  너와의 약혼을 파기하겠다   아름다운 연회에서 갑자기 전해진 파혼 선언  아이린 로렌 도트리슈는 그 충격에 전생에서의 기억을 되찾고 현재 상황을 파악했다   이곳은 전생에서 자신이 좋아했던 여성향 게임  성과 마와 소녀의 레갈리아  세계 속   자신은 주인공의 연애를 방해하는 악역 영애 아이린이라는 것을  전생에서의 기억에 따르면 아이린에게 남은 건 하찮게 죽는 파멸 루트뿐   파멸 플래그의 출발점이자 최종 보스인 마왕 클로드를 공략해 애인으로 만들 수 있다면  플래그는 회피할 수 있을지도 모른다   그런 생각에 아이린은 아름다운 마왕에게 선언했다    결혼해 주세요    일발 역전  행복을 움켜쥐기 위한 아이린의 여정이 시작된다       접기
7, 극장판  앙상블 스타즈    Road to Show   ,로맨스,줄거리 수많은 사람들이 오가는 도심 속에 세워진 새로운 빌딩 그것이 앙상블 스퀘어  그곳에는 거대한 행성 같은  개의 사무소가 존재했고 각각 소속된 개성 넘치는 아이돌들이 매일 노래하고  춤추고  울고  화내고  웃으며 지내고 있었다   앙상블 스퀘어의 아이돌들이 출연한 영화   도원향 우상권    한밤중의                   가 매년 뉴욕에서 열리는 아이돌 영화 제전  아이돌 필름 페스티벌      에 노미네이트되었다   수상식에 참가하기 위해 대표로 선발된 아이돌들은 뉴욕으로 향하게 된다  그들은 영화제와 리셉션 파티에 참가한 후 수상식 전 잠깐 동안 관광을 즐기기로 한다  뉴욕 시내의 다양한 장소를 돌아보며 즐거움을 만끽하지만 그런 그들을 향해 수상한 그림자가 몰래 다가오고 있었는데       접기
8, 극장판  BanG Dream  팝핀  드림 ,로맨스,줄거리                         에서 이어지는 완전 신작 오리지널 애니메이션  무도관 공연을 성공시킨              꿈의 무대에 선 여운이 남아 있는 카스미 일행 앞에 의문의 여성이 나타난다  다음 무대는 해외                의 음악은 아직 멈추지 않는다       접기
9,기븐 OAD   정반대의 존재,로맨스,줄거리 어느 날  우에노야마 리츠카는 부서진 기타를 안고 있는 사토 마후유와 만난다   기타를 고쳐주자 마후유는 리츠카를 따르게 된다   어쩔 수 없이 기타를 가르치게 된 리츠카였지만  우연히 들은 마후유의 노래가 마음을 파고들었다   리츠카는 마후유를 자신의 밴드로 부르고 둘의 관계가 변하기 시작한다  그러나 감정을 표현하는 일이 서툰 마후유는 과거에 사로잡혀 있는 것 같은데       접기
