,titles,category,summary
0,닌자 잇토키,판타지,줄거리 닌자는 존재하지 않는다고  우리들은 생각하고 있다   가령 닌자가 존재한다고 해도  닌자는 그 모습을 우리 앞에서 드러내는 일은 없다   그렇기에 닌자는  표면적으로는  존재하지 않는 것이다   주인공인 사쿠라바 잇토키는 우리들처럼 닌자가 존재하지 않는다고 생각하는 평범한 남자아이였다   그에게는 평소와 같은 행복하고 반짝거리는 나날이 약속되어있을   터였다   어느 날  잇토키는 목숨을 위협받았고 그것이 코가 닌자들의 소행이라는 사실을 듣게 되었다   잇토키가 목숨을 위협받게 된 이유는    그가 유서 깊은 이가 닌자 제  대 정통 후계자였기 때문이었다   이가와 코가가 오랜 세월 대립해 온 가운데 코가가 이가를 침략하려고 하는 상황   그런 상황 속에서 잇토키가 살기 위해선 스스로 닌자가 되는 수밖에 없었다  그렇게 아무것도 모르는 닌자의 세계에 몸을 던지게 된 잇토키   어엿한 닌자가 되기 위해 배우고  싸우고  고난과 맞선다  하지만 그것은 잇토키가 겪게 될 가혹한 운명의 예고에 불과했는데       접기
1,흑집사  ,판타지,줄거리 흑집사    흑집사 시작되다   시엘 팬텀하이브  자신에게 굴욕을 준 자를 향한 복수를 바라며 고귀한 영혼을 잃지 않았던 그의 곁에는 항상 집사 세바스찬 미카엘리스가 있었다   알로이스 트란시  잔인하고 포악한 행동을 일삼으나 어둠을 무서워하는 약한 심성을 가진 명문 귀족 가문의 젊은 당주에게는 칠흑의 집사 클로드 포스터스가 있었다   싶은 어둠을 품고 있는 주인과 그 주인의 명령을 완벽하게 수행하는 집사   두 쌍의 주종이 해후하는 때  이야기는 도도하게 흐르기 시작한다       접기
2,전생했더니 검이었습니다,판타지,줄거리 전생했더니 검이었습니다    인텔리전스 웨펀 이라고 불리는  검 으로서 이세계에 전생한 그는 장비자와의 만남을 꿈꾸며 고독하게 스킬 수집에 힘쓰고 있었다   어느 날 어리석게도 마력을 흡수하는  고갈의 숲 에 들어가 한 발짝도 움직일 수 없게 된다   망연자실하고 있을 때  노예 신분으로 학대받던 흑묘족 소녀 프란을 만난다   프란은 거대한 마수에게 습격당해 절체절명의 위기에 처해 있었다  그녀는 눈앞에 나타난 그를 뽑고 그 힘으로 궁지를 벗어났고 그에게  스승 이라고 이름 붙이고 정식 장비자가 되었다   모험가가 된 프란과 스승은 서로 스킬을 갈고닦으면서 퀘스트를 수행한다  프란은 강함 끝에 있는  진화 를 이루기 위해  스승은 소녀의  소원 을 이뤄주기 위해   고양이귀 소녀와 팔불출 검의 대모험이 시작된다       접기
3,악역 영애이기 때문에 최종 보스를 길러보았습니다,판타지,줄거리  너와의 약혼을 파기하겠다   아름다운 연회에서 갑자기 전해진 파혼 선언  아이린 로렌 도트리슈는 그 충격에 전생에서의 기억을 되찾고 현재 상황을 파악했다   이곳은 전생에서 자신이 좋아했던 여성향 게임  성과 마와 소녀의 레갈리아  세계 속   자신은 주인공의 연애를 방해하는 악역 영애 아이린이라는 것을  전생에서의 기억에 따르면 아이린에게 남은 건 하찮게 죽는 파멸 루트뿐   파멸 플래그의 출발점이자 최종 보스인 마왕 클로드를 공략해 애인으로 만들 수 있다면  플래그는 회피할 수 있을지도 모른다   그런 생각에 아이린은 아름다운 마왕에게 선언했다    결혼해 주세요    일발 역전  행복을 움켜쥐기 위한 아이린의 여정이 시작된다       접기
4,흑집사,판타지,줄거리   세기 영국   악의 귀족 이라고 불린 소년의 옆에는   반드시 한 사람의  집사 가 있었다     세기 후반  빅토리아 왕조 시대의 영국  명문 귀족 팬텀하이브가의 집사 세바스찬  그는 지식  교양  품위  요리  무술    모든 것에 있어서 완벽했다   제멋대로인   세의 주인 시엘을 상대로 오늘도 칠흑의 연미복 차림으로 화려하게 집무를 수행한다       접기
5,Engage Kiss,판타지,줄거리 태평양에 떠 있는 메가 플로트 도시이자  어느 국가에도 소속되지 않은 베이론 시티   그곳에는    재해 라고 불리는  악마가 일으키는 특수한 사건이 다수 발생하고 있었다   이에 대처하는 건     민간군사기업 에 소속된 사람들로  베이론 시티에 살고 있는 청년 슈도 그중 하나였다   언제나 돈에 쪼들리는 슈를 헌신적으로 도와주는 사람은  베이론 시티에서 학교에 다니고 있는 미소녀 고등학생 키사라   그리고 또 한 명  슈가 과거에 속해있던 대형    의 직원이자 전 애인인 아야노였다   키사라에게 있어서는 이는 달갑지 않았는데   이처럼 그녀의 슈에 대한 강한 집착의 근간은 두 사람이 맺은  계약 에 있었다  그녀의 정체는 악마였던 것이다   키사라는 슈의 생활을 도와주면서 계약에 따라 악마 퇴치에도 협력했고  그 대가로서 받는 건 달콤하면서 위험한  키스 였다   사랑과 계약  두 사람의 위태로운 인연  그 운명은 과연 어디로 향할 것인가       접기
6,던전에서 만남을 추구하면 안 되는 걸까   신장 미궁 편,판타지,줄거리 미궁도시 오라리오   던전 으로 통칭되는 거대한 지하 미궁이 있는 거대 도시   이 도시에서 작은 여신과 만난 모험가를 꿈꾸던 소년은 동료를 만들고 던전에 도전하여 수많은 사지를 헤쳐 나오면서  랭크 업을 이루었다   그런 그에게 도착한 한 통의 편지  거기에 적힌 것은 던전 미개척 계층에서의 원정 임무  미지의 계층을 탐사하는 모험을 향해 소년은 동료들과 함께 새로운 한 걸음을 내딛는다   이것은 소년이 걷고  여신이 기록하는  파밀리아 미스       접기
7,금장의 벨메이유  벼랑 끝 마술사는 최강의 재액과 마법세계를 헤쳐나간다 ,판타지,줄거리 왕립 올티기아 마법학원   소환 마술에 성공하지 못해 유급될 위기에 처한 학생 알트는 우연히 발견한 낡은 소환 마술서에서 본 마법진을 그리고 봉인돼있던 악마 벨메이를 소환해버린다  그녀는 오래전부터 두려움의 대상이었던  악마 이자 재액을 불러오는 강대한 힘을 가지고 있었다   사역마가 된 벨메이에게는 정기적으로 마력을 공급할 필요가 있었고 그 방법은 진한 키스를 하는 것이었다   그런 두 사람의 관계를 질투하는 소꿉친구 리리아  그리고 전대미문의 사역마에 어리둥절해하는 다른 학생들   최강의 사역마와 계약한 알트는 위대한 마법사  플래티넘 스퀘어 를 목표로 한다  벼랑 끝 마술사와 불건전한 악마 누나의 왕도 판타지 개막       접기
8,이세계 약국,판타지,줄거리 현대 일본의 약학 연구자였던 야쿠타니 칸지는 어느 날 눈을 떠보니  궁정 약사 명가 드 메디시스 가문의 팔마 드 메디시스로 환생해 있었다   팔마는 잘못된 치료법이나 약의 조합  의료 행위라 부를 수 없는 주술이나 주문 같은 것이 남용되는 이 세계의 의료 현실에 절망했다   이에 전생에서 얻은 현대 약학 지식에 더해 이세계에서 손에 넣은 치트 능력  물질 창조   물질 소거   귀족들만 사용할 수 있는 신술을 구사해 갖가지 질병과 맞서게 되었다   그리고 진짜로 효과가 있는 약을 사람들에게 널리 전해주기 위해  이세계 약국 을 개업했는데   이세계 치트   현대 약학   이세계의 의료를 바꾸는 구원 판타지 개막        접기
9,반지의 기사,판타지,줄거리 극히 평범한 대학생이었던 아마미야 유히는 어느 날 나타난 말하는 도마뱀에게 지구를 위기로부터 구하기 위해협력할 것을 요청받았다   거부할 새도 없이 짐승 기사단의 일원이 된 유히는 반지의 힘으로 초능력인 장악영역을 사용할 수 있게 되었지만  너무 빠르게 적과 조우하고 말았다   절체절명의 순간에 유히를 구한 건 놀랍게도 이웃집에 사는 소녀 사미다레였다   구세주가 강림했다고 생각하려던 찰나 실은 사미다레는 지구 정복을 꿈꾸는 마왕이었고   그 말도 안 되는 강함과 마왕다운 매력에 끌린 유히는 그녀의 부하가 되었고  그녀가 그리는 별도의 계획에 가담하게 되었는데       접기
